Wall time,Step,Value
1756310049.2161145,0,117.76174926757812
1756310215.6344824,1036,108.6424560546875
1756310379.330838,2082,112.13699340820312
1756310549.7431161,3124,114.03150939941406
1756310722.0472841,4166,115.57852172851562
1756310894.8190057,5198,116.68817901611328
1756311061.113287,6227,116.93682861328125
1756311227.3536916,7263,117.74397277832031
1756311383.4983163,8291,121.20319366455078
1756311555.3153548,9337,121.38058471679688
1756311709.9952142,10376,118.89097595214844
1756311872.0004761,11419,119.9168472290039
1756312042.746379,12457,120.24784088134766
1756312214.5728574,13495,119.51293182373047
1756312382.1797097,14535,120.33268737792969
1756312548.9509885,15560,120.2099838256836
1756312717.9581409,16588,120.1119613647461
1756312889.9930997,17628,122.65886688232422
1756313061.10678,18666,124.39751434326172
1756313232.6969693,19713,124.31973266601562
1756313404.1559532,20753,125.12445831298828
