rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
1,229,124.77799863815308,0.125,5.3050287681629715,10.610057536325943,100.0,20,20,100.0,,,,
2,227,104.60838973522186,0.125,5.37444562479517,10.74889124959034,100.0,20,20,100.0,,,,
3,230,100.15987565517426,0.125,5.630052569096403,11.260105138192806,100.0,20,20,100.0,,,,
4,225,97.30278948545455,0.125,5.397754014944878,10.795508029889756,100.0,20,20,100.0,,,,
5,282,36.686499999999995,0.16787920170007803,6.106475921683933,12.212951843367867,85.0,20,17,85.0,2.0,10.0,1.0,5.0
6,283,30.94070000000001,0.20265539159595086,5.874877156669885,11.74975431333977,85.0,20,17,85.0,3.0,15.0,,
7,275,29.918250000000008,0.1010050893486832,5.472307315539867,10.944614631079734,55.00000000000001,20,11,55.00000000000001,8.0,40.0,1.0,5.0
8,58,26.299300000000006,0.1067707587039334,6.574528340055508,13.149056680111016,35.0,20,7,35.0,12.0,60.0,1.0,5.0
9,278,25.848950000000002,0.04310323913022589,5.531487978402172,11.062975956804344,30.0,20,6,30.0,14.0,70.0,,
10,123,24.70315,0.09298358998607786,5.680943173847867,11.361886347695734,45.0,20,9,45.0,11.0,55.00000000000001,,
11,284,22.17285,0.2748708273406452,5.55712102065534,11.11424204131068,80.0,20,16,80.0,4.0,20.0,,
12,245,22.126600000000003,0.2660028923641159,5.585239037632293,11.170478075264587,100.0,20,20,100.0,,,,
13,294,20.323,0.3855808958828775,5.86570466209071,11.73140932418142,100.0,20,20,100.0,,,,
14,264,19.504250000000003,0.3440342927065148,5.972490888408847,11.944981776817693,100.0,20,20,100.0,,,,
15,299,18.8372,0.26240487138814367,5.472307315539867,10.944614631079734,80.0,20,16,80.0,4.0,20.0,,
16,271,17.7992,0.33353487093363343,5.67652545281962,11.35305090563924,100.0,20,20,100.0,,,,
17,220,17.45695,0.405357511923883,5.651946053648159,11.303892107296319,90.0,20,18,90.0,1.0,5.0,1.0,5.0
18,19,17.178999999999995,0.35441853618221064,6.455914621937619,12.911829243875237,95.0,20,19,95.0,1.0,5.0,,
19,176,16.355799999999995,0.2530683396668466,5.4417105989901975,10.883421197980395,75.0,20,15,75.0,5.0,25.0,,
20,99,15.50985,0.40724856496117834,5.6258864542957125,11.251772908591425,100.0,20,20,100.0,,,,
21,197,15.405350000000002,0.2915687761310432,5.4417105989901975,10.883421197980395,85.0,20,17,85.0,3.0,15.0,,
22,260,14.876749999999998,0.3759858229627367,5.730656995304175,11.46131399060835,95.0,20,19,95.0,1.0,5.0,,
23,111,14.5709,0.46059223617453193,6.701964148394199,13.403928296788399,100.0,20,20,100.0,,,,
24,276,14.557800000000004,0.4565910375682386,6.299590978126192,12.599181956252384,100.0,20,20,100.0,,,,
25,222,14.521349999999998,0.3972568184962474,5.5327292311447875,11.065458462289575,95.0,20,19,95.0,1.0,5.0,,
26,243,14.4252,0.47794970307315837,6.8676534716365385,13.735306943273077,100.0,20,20,100.0,,,,
27,288,14.311250000000006,0.4499181543225303,6.243137193105493,12.486274386210987,100.0,20,20,100.0,,,,
28,254,14.056100000000004,0.44349371043054375,5.843389402924612,11.686778805849224,100.0,20,20,100.0,,,,
29,209,14.04325,0.40177297383751603,5.7529556395662125,11.505911279132425,95.0,20,19,95.0,1.0,5.0,,
30,287,13.863399999999995,0.46634004617177444,6.4771288477686415,12.954257695537283,100.0,20,20,100.0,,,,
31,117,13.713700000000003,0.45456143131200644,5.995445792364,11.990891584728,100.0,20,20,100.0,,,,
32,219,13.533199999999999,0.4586366617199282,6.115763252122108,12.231526504244217,100.0,20,20,100.0,,,,
33,182,13.4024,0.3950914416046009,5.402161078590224,10.804322157180447,95.0,20,19,95.0,1.0,5.0,,
34,186,13.251600000000002,0.48125,5.935452339174134,11.870904678348268,100.0,20,20,100.0,,,,
35,285,13.202700000000002,0.43397270692692824,5.579129338591526,11.158258677183053,100.0,20,20,100.0,,,,
36,62,13.073600000000008,0.45793033116639065,5.891979425779621,11.783958851559243,95.0,20,19,95.0,1.0,5.0,,
37,2,13.0615,0.2979964308523521,6.3157850501079364,12.631570100215873,70.0,20,14,70.0,6.0,30.0,,
38,85,13.059050000000003,0.43192148663602453,5.4320759430780985,10.864151886156197,100.0,20,20,100.0,,,,
39,265,13.056900000000002,0.4813104598578505,6.298259065755926,12.596518131511852,100.0,20,20,100.0,,,,
40,273,13.048599999999999,0.4580356604064442,5.906608121390098,11.813216242780197,100.0,20,20,100.0,,,,
41,86,13.01415,0.4377400445470364,5.411645301761513,10.823290603523025,100.0,20,20,100.0,,,,
42,168,12.968399999999997,0.4685054079213898,5.847888921931128,11.695777843862256,100.0,20,20,100.0,,,,
43,180,12.869000000000003,0.4578696606809977,5.679088551727051,11.358177103454102,100.0,20,20,100.0,,,,
44,105,12.828800000000006,0.4500300764265914,5.536232546488139,11.072465092976278,100.0,20,20,100.0,,,,
45,295,12.658750000000001,0.45299192721682163,5.601883334850752,11.203766669701505,100.0,20,20,100.0,,,,
46,255,12.649500000000003,0.4594342829823838,5.745478305921976,11.490956611843952,100.0,20,20,100.0,,,,
47,191,12.478400000000002,0.4778179270361271,6.065507563203479,12.131015126406957,100.0,20,20,100.0,,,,
48,281,12.447949999999999,0.4858874645537852,6.251270475448228,12.502540950896456,100.0,20,20,100.0,,,,
49,280,12.366399999999997,0.44171486081430134,6.391280019187756,12.782560038375513,90.0,20,18,90.0,2.0,10.0,,
50,252,12.348449999999996,0.444165459524959,5.14146402628182,10.28292805256364,100.0,20,20,100.0,,,,
51,207,12.255800000000002,0.45572188131234254,5.506780851214966,11.013561702429932,100.0,20,20,100.0,,,,
52,232,12.226199999999999,0.4788258818902246,6.119142001369435,12.23828400273887,100.0,20,20,100.0,,,,
53,256,12.175749999999997,0.46116391834620546,5.3118545175624545,10.623709035124909,100.0,20,20,100.0,,,,
