rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
1,282,30.544599999999996,0.2387293592457162,8.49516132628872,16.99032265257744,85.0,20,17,85.0,3.0,15.0,,
2,278,23.351300000000013,0.06632623494484208,7.993828924681077,15.987657849362154,30.0,20,6,30.0,14.0,70.0,,
3,284,23.0693,0.24255289234357852,7.979150391499104,15.958300782998208,70.0,20,14,70.0,4.0,20.0,2.0,10.0
4,275,22.155499999999993,0.2711230441803479,7.8943366863836335,15.788673372767267,80.0,20,16,80.0,4.0,20.0,,
5,245,18.866200000000006,0.4213434248940229,8.007268408476056,16.014536816952113,100.0,20,20,100.0,,,,
6,237,18.849600000000002,0.4120032902401653,8.184645768726346,16.369291537452693,100.0,20,20,100.0,,,,
7,231,17.9459,0.35095749160490086,8.341074543899769,16.682149087799537,90.0,20,18,90.0,2.0,10.0,,
8,250,17.345899999999997,0.2796014504056211,7.753303522955292,15.506607045910584,75.0,20,15,75.0,5.0,25.0,,
9,294,16.3442,0.3874364968240926,8.354561196527735,16.70912239305547,90.0,20,18,90.0,2.0,10.0,,
10,19,15.2713,0.49325228495613754,8.861853675765909,17.723707351531818,100.0,20,20,100.0,,,,
11,271,15.051199999999994,0.474784510968986,8.165381987256646,16.330763974513292,100.0,20,20,100.0,,,,
12,252,14.981400000000008,0.43580172894891567,7.641234703942784,15.282469407885568,100.0,20,20,100.0,,,,
13,111,14.628100000000003,0.49173463433312625,9.15228905779839,18.30457811559678,100.0,20,20,100.0,,,,
14,225,14.618500000000001,0.4458450196245038,7.848078924349069,15.696157848698139,100.0,20,20,100.0,,,,
15,288,14.298299999999992,0.47157879166039757,8.737428075710579,17.474856151421157,100.0,20,20,100.0,,,,
16,276,14.233300000000003,0.46923409872945754,8.72162034896996,17.44324069793992,100.0,20,20,100.0,,,,
17,243,13.958700000000004,0.4925998374371031,9.356510006073563,18.713020012147126,100.0,20,20,100.0,,,,
18,260,13.788900000000002,0.489745851479793,8.152686366147941,16.305372732295883,100.0,20,20,100.0,,,,
