rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
1,275,37.834649999999996,0.05954188669952788,5.472307315539867,10.944614631079734,40.0,20,8,40.0,6.0,30.0,6.0,30.0
2,58,35.47824999999999,0.08990461877442477,6.574528340055508,13.149056680111016,55.00000000000001,20,11,55.00000000000001,7.0,35.0,2.0,10.0
3,282,28.896900000000006,0.20802241963587242,6.106475921683933,12.212951843367867,95.0,20,19,95.0,1.0,5.0,,
4,259,25.86065,0.17548656963649018,5.550108213208152,11.100216426416305,70.0,20,14,70.0,5.0,25.0,1.0,5.0
5,283,24.102449999999997,0.19496855980330138,5.874877156669885,11.74975431333977,70.0,20,14,70.0,6.0,30.0,,
6,299,23.423050000000007,0.24801033144600196,5.472307315539867,10.944614631079734,85.0,20,17,85.0,3.0,15.0,,
7,278,23.23785,0.026774125049631732,5.531487978402172,11.062975956804344,15.0,20,3,15.0,17.0,85.0,,
8,163,21.9553,0.2704784038341436,5.770770011572085,11.54154002314417,100.0,20,20,100.0,,,,
9,103,21.9309,0.2399207043974732,5.560536376377432,11.121072752754865,85.0,20,17,85.0,3.0,15.0,,
10,245,21.47675,0.26611025419494666,5.585239037632293,11.170478075264587,100.0,20,20,100.0,,,,
11,264,21.03575,0.28125812467277306,5.972490888408847,11.944981776817693,85.0,20,17,85.0,2.0,10.0,1.0,5.0
12,254,19.985,0.22557732982059572,5.843389402924612,11.686778805849224,60.0,20,12,60.0,8.0,40.0,,
13,225,19.773150000000005,0.23264558165769306,5.397754014944878,10.795508029889756,80.0,20,16,80.0,4.0,20.0,,
14,129,18.6223,0.3789173041694771,5.791358347230201,11.582716694460402,90.0,20,18,90.0,,,2.0,10.0
15,19,18.114100000000004,0.22282184752702636,6.455914621937619,12.911829243875237,70.0,20,14,70.0,6.0,30.0,,
16,176,17.838800000000003,0.30452498256429317,5.4417105989901975,10.883421197980395,85.0,20,17,85.0,3.0,15.0,,
17,224,17.08505,0.3004886746730847,5.4748361599356254,10.949672319871251,85.0,20,17,85.0,3.0,15.0,,
18,284,16.971999999999994,0.3222373188458841,5.55712102065534,11.11424204131068,80.0,20,16,80.0,3.0,15.0,1.0,5.0
19,277,16.829800000000002,0.36407410664008316,5.464293112946189,10.928586225892378,95.0,20,19,95.0,1.0,5.0,,
20,188,16.49165,0.3967500848546659,5.576075078062962,11.152150156125924,100.0,20,20,100.0,,,,
21,111,16.338650000000005,0.4169668568269883,6.701964148394199,13.403928296788399,100.0,20,20,100.0,,,,
22,216,15.986750000000004,0.3947437509777267,5.592854660904658,11.185709321809316,100.0,20,20,100.0,,,,
23,99,15.552050000000003,0.37657657549353507,5.6258864542957125,11.251772908591425,95.0,20,19,95.0,1.0,5.0,,
24,219,15.216250000000002,0.42522663955144324,6.115763252122108,12.231526504244217,100.0,20,20,100.0,,,,
25,243,15.186700000000002,0.46587575008526166,6.8676534716365385,13.735306943273077,100.0,20,20,100.0,,,,
26,255,15.088049999999996,0.4123582665054806,5.745478305921976,11.490956611843952,100.0,20,20,100.0,,,,
27,241,14.949950000000007,0.3311757888230269,5.635528539152456,11.271057078304912,85.0,20,17,85.0,3.0,15.0,,
28,262,14.863099999999998,0.4089680790941328,5.500141794905875,11.00028358981175,100.0,20,20,100.0,,,,
29,295,14.511000000000005,0.40166558826831356,5.601883334850752,11.203766669701505,100.0,20,20,100.0,,,,
30,55,14.482399999999998,0.4333695398981948,6.150745287664124,12.301490575328248,95.0,20,19,95.0,,,1.0,5.0
31,214,14.334650000000005,0.4317350965297466,5.954226312874237,11.908452625748474,100.0,20,20,100.0,,,,
32,197,14.153899999999998,0.3992113069900942,5.4417105989901975,10.883421197980395,100.0,20,20,100.0,,,,
33,168,13.883600000000005,0.4276535282939329,5.847888921931128,11.695777843862256,100.0,20,20,100.0,,,,
34,212,13.8142,0.412413815661135,5.545880036470178,11.091760072940357,100.0,20,20,100.0,,,,
35,240,13.716750000000001,0.46015955147602466,6.392396232029949,12.784792464059898,100.0,20,20,100.0,,,,
36,273,13.70405,0.40891219787345373,5.906608121390098,11.813216242780197,95.0,20,19,95.0,1.0,5.0,,
37,287,13.702000000000002,0.4682699462267781,6.4771288477686415,12.954257695537283,100.0,20,20,100.0,,,,
38,288,13.641400000000004,0.4660697810668853,6.243137193105493,12.486274386210987,100.0,20,20,100.0,,,,
39,33,13.613050000000005,0.4632787038630986,6.251921544727312,12.503843089454625,100.0,20,20,100.0,,,,
40,294,13.535449999999997,0.45670870352409054,5.86570466209071,11.73140932418142,100.0,20,20,100.0,,,,
41,180,13.46045,0.4423036175263326,5.679088551727051,11.358177103454102,100.0,20,20,100.0,,,,
42,117,13.455549999999999,0.4556730661655296,5.995445792364,11.990891584728,100.0,20,20,100.0,,,,
43,253,13.39785,0.4424779014207612,5.299060549623293,10.598121099246587,100.0,20,20,100.0,,,,
44,297,13.280650000000003,0.4712536907223683,6.099453216979006,12.198906433958012,100.0,20,20,100.0,,,,
45,230,13.275450000000001,0.4162992579019547,5.630052569096403,11.260105138192806,95.0,20,19,95.0,1.0,5.0,,
46,191,13.219199999999997,0.469194362859949,6.065507563203479,12.131015126406957,100.0,20,20,100.0,,,,
47,222,13.085550000000003,0.44633530814212763,5.5327292311447875,11.065458462289575,100.0,20,20,100.0,,,,
48,292,13.064699999999997,0.4705396397103563,5.972777868289259,11.945555736578518,100.0,20,20,100.0,,,,
49,276,13.0535,0.47871504139722915,6.299590978126192,12.599181956252384,100.0,20,20,100.0,,,,
50,270,13.03295,0.43998287844554557,5.854824483015123,11.709648966030246,100.0,20,20,100.0,,,,
51,265,12.9411,0.4852053970581641,6.298259065755926,12.596518131511852,100.0,20,20,100.0,,,,
52,167,12.938500000000001,0.4714583244332805,6.100845274149508,12.201690548299016,100.0,20,20,100.0,,,,
53,260,12.848150000000004,0.44862158536431246,5.730656995304175,11.46131399060835,100.0,20,20,100.0,,,,
54,280,12.806150000000002,0.46491796662085516,6.391280019187756,12.782560038375513,95.0,20,19,95.0,1.0,5.0,,
55,154,12.7927,0.43772411683892426,5.317135058388826,10.634270116777651,100.0,20,20,100.0,,,,
56,285,12.675350000000005,0.41856917012753436,5.579129338591526,11.158258677183053,95.0,20,19,95.0,1.0,5.0,,
57,175,12.637250000000002,0.46864600222884445,5.788212970968919,11.576425941937838,100.0,20,20,100.0,,,,
58,184,12.598400000000002,0.4698427840690094,6.098245689977257,12.196491379954514,100.0,20,20,100.0,,,,
59,215,12.477450000000001,0.46195239732170634,5.5549290263279865,11.109858052655973,100.0,20,20,100.0,,,,
60,62,12.4224,0.45526045190190756,5.891979425779621,11.783958851559243,95.0,20,19,95.0,1.0,5.0,,
61,207,12.4021,0.45662632747561976,5.506780851214966,11.013561702429932,100.0,20,20,100.0,,,,
62,238,12.398150000000001,0.47201661026375286,5.781060482050197,11.562120964100394,100.0,20,20,100.0,,,,
63,2,12.313649999999999,0.46040854293058187,6.3157850501079364,12.631570100215873,100.0,20,20,100.0,,,,
64,114,12.191199999999998,0.4836505956828031,6.2321347140871515,12.464269428174303,100.0,20,20,100.0,,,,
65,43,12.186799999999996,0.4543560876268871,5.594050639724192,11.188101279448384,100.0,20,20,100.0,,,,
66,271,12.168549999999998,0.46577354752684375,5.67652545281962,11.35305090563924,100.0,20,20,100.0,,,,
67,209,12.1521,0.4656029339218336,5.7529556395662125,11.505911279132425,100.0,20,20,100.0,,,,
68,199,12.09525,0.4873838094047094,5.970408743418096,11.940817486836192,100.0,20,20,100.0,,,,
69,281,12.062199999999999,0.49731603252080203,6.251270475448228,12.502540950896456,100.0,20,20,100.0,,,,
70,119,12.050800000000002,0.47414532260732073,6.0671796727992735,12.134359345598547,100.0,20,20,100.0,,,,
71,138,12.02735,0.5,6.678280445640657,13.356560891281314,100.0,20,20,100.0,,,,
